Episode,Reward,Epsilon,Best_Reward,Best_Avg_Reward
0,0.0,1.0,0.0,0.0
1,50.0,0.986490720371689,50.0,5.0
2,0.0,0.9772602357724138,50.0,5.0
3,25.0,0.9652158340034498,50.0,7.5
4,275.0,0.939501145529759,275.0,35.0
5,0.0,0.9292222426261074,275.0,35.0
6,0.0,0.9208959343791289,275.0,35.0
7,0.0,0.9111850251059626,275.0,35.0
8,0.0,0.9028397355182259,275.0,35.0
9,0.0,0.8938554360768814,275.0,35.0
10,75.0,0.8805463413618011,275.0,42.5
11,0.0,0.8714352082896778,275.0,42.5
12,0.0,0.8639722558748574,275.0,42.5
13,100.0,0.8490676938838823,275.0,45.0
14,0.0,0.8411230613492915,275.0,45.0
15,50.0,0.8310889065147856,275.0,45.0
16,0.0,0.8231478370058832,275.0,45.0
17,0.0,0.8146306140856312,275.0,45.0
18,0.0,0.805879071672457,275.0,45.0
19,350.0,0.7935623841946564,350.0,57.5
20,0.0,0.7869237177170659,350.0,57.5
21,0.0,0.77815847253293,350.0,57.5
22,0.0,0.7701067607019746,350.0,57.5
23,0.0,0.7633588806202726,350.0,57.5
24,0.0,0.7568214915553064,350.0,57.5
25,0.0,0.7500399825281242,350.0,57.5
26,25.0,0.7415372341834641,350.0,57.5
27,50.0,0.7322515590490746,350.0,57.5
28,0.0,0.7252548821799348,350.0,57.5
29,0.0,0.7181813936728831,350.0,57.5
30,0.0,0.7111768936564827,350.0,57.5
31,0.0,0.7050863900075716,350.0,57.5
32,0.0,0.6989082356920915,350.0,57.5
33,0.0,0.6926456591632751,350.0,57.5
34,0.0,0.686301910694918,350.0,57.5
35,0.0,0.6793365185392733,350.0,57.5
36,50.0,0.6705614279433619,350.0,57.5
37,50.0,0.6618996864945449,350.0,57.5
38,0.0,0.6557063643108847,350.0,57.5
39,75.0,0.6458140106717728,350.0,57.5
40,400.0,0.6346729411626012,400.0,57.5
41,0.0,0.6286086297493648,400.0,57.5
42,0.0,0.6229759737733175,400.0,57.5
43,0.0,0.617640820908687,400.0,57.5
